Rank,Feature Name,Importance
1,Area,869
2,Latitude,712
3,Longitude,680
4,Total Number of Facilities,184
5,Number of Bedrooms,84
6,Washing Machine,54
7,Number of Bathroom(s),46
8,Tennis Field,40
9,Basketball Field,40
10,Furnished Status,39
11,Jogging Track,39
12,Fridge,29
13,Water Heater,26
14,Kitchen,24
15,Multipurpose Room,24
16,Playground,18
17,Restaurant,15
18,Bed,11
19,Grocery,9
20,AC,9
21,In Jakarta Check,7
22,Laundry,7
23,Internet,7
24,TV Cable,6
25,ATM,5
26,Dining Set,5
27,Security,3
28,Gym,3
29,Swimming Pool,3
30,TV,2
