,URL,Unit_Name,Unit_ID,Apt_Name,No_Rooms,Bathroom,Street,Locality,Region,Longitude,Latitude,Furnished,Area,Floor,Tower,AC,Water_Heater,Dining_Set,Electricity,Bed,Access_Card,Kitchen,Fridge,Washing_Machine,TV,ATM,TV_Cable,Grocery,Internet,Swim_Pool,Laundry,Security,Basketball,Multipurpose_Room,Gym,Jogging,Tennis,Restaurant,Playground,Total_Facilities,Currency,Annual_Price,Monthly_Price,Deposit_Currency,Deposit_Charge,Service_Currency,Service_Charge
0,https://jendela360.com/sewa-apartemen-tamansari-semanggi-apartment/tssb011,Taman Sari Semanggi Apartment 1BR Tower A,tssb011,Tamansari Semanggi Apartment,1,1," Jalan Akri No.134, Kecamatan Setiabudi, Daerah Khusus Ibukota Jakarta 12930",Semanggi,Jakarta Selatan,106.819159,-6.226598,1,43.0,Lantai Rendah,Tower A,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,IDR,96000000,96000000,IDR,8000000,IDR,650000
1,https://jendela360.com/sewa-apartemen-puri-park-view-apartment/ppvc072,Puri Park View Apartment 2BR Semi Furnished,ppvc072,Puri Park View Apartment,2,1,"Jln Pesanggrahan No. 88, Meruya Utara, Kembangan, Jakarta Barat, Daerah Khusus Ibukota Jakarta 11620",Kebon Jeruk,Jakarta Barat,106.756061,-6.192081,0,35.0,Lantai Tengah,Tower CB,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,19,IDR,30000000,30000000,IDR,5000000,IDR,500000
2,https://jendela360.com/sewa-apartemen-metro-park-residence/mprc040,Metro Park Residence 2BR Fully Furnished,mprc040,Metro Park Residence,2,1,"Jl Pilar Mas Utama Raya Kav. 28, Kebon Jeruk, Kedoya Sel., Kb. Jeruk, Kota Jakarta Barat, DKI Jakarta 11520",Kedoya,Jakarta Barat,106.757651,-6.186415,1,53.0,Lantai Rendah,Tower Milan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,22,IDR,70000000,70000000,IDR,5900000,IDR,880000
3,https://jendela360.com/sewa-apartemen-pondok-indah-golf-apartment/ponf003,Pondok Indah Golf Apartment 2BR View Golf Area,ponf003,Pondok Indah Golf Apartment,2,2,"Jl. Metro Kencana IV, Pondok Pinang, Kebayoran Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Indonesia 12310",Pondok Indah,Jakarta Selatan,106.7846,-6.272637,1,85.0,Lantai Tengah,Tower -,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,IDR,576000000,576000000,IDR,48000000,,
4,https://jendela360.com/sewa-apartemen-season-city-apartment/sscc039,Season City Apartment 2BR Tower C,sscc039,Season City Apartment,2,1,"JL. Latumenten Raya, No. 33, Grogol, Jakarta Barat, DKI Jakarta, Indonesia 11460",Grogol,Jakarta Barat,106.796056,-6.153652,0,48.0,Lantai Atas,Tower C,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,15,IDR,32000000,32000000,IDR,2700000,IDR,720000
5,https://jendela360.com/sewa-apartemen-green-pramuka-city-apartment/gprc070,Green Pramuka City Apartment 2BR Fully Furnished,gprc070,Green Pramuka City Apartment,2,1,"Jl. Jenderal Ahmad Yani Kav. 49, Rawasari, Cempaka Putih, Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",Cempaka Putih,Jakarta Pusat,106.873191,-6.187929,1,33.0,Lantai Tengah,Tower Fagio,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,21,IDR,60000000,60000000,IDR,5000000,IDR,620000
6,https://jendela360.com/sewa-apartemen-springhill-terrace-residence/sphc011,Springhill Terrace Residence 2BR Fully Furnished,sphc011,Springhill Terrace Residence,2,1,"Jl. Benyamin Sueb Blok D7, Pademangan, Jakarta Pusat, DKI Jakarta, Indonesia 10720",Kemayoran,Jakarta Pusat,106.850107,-6.14907,1,58.0,Lantai Tengah,Tower OAKWOOD,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,14,IDR,80000000,80000000,IDR,6700000,IDR,870000
7,https://jendela360.com/sewa-apartemen-kemang-village-apartment/kmvd028,Kemang Village Apartment 3BR Fully Furnished,kmvd028,Kemang Village Apartment,3,2," Jalan Pangeran Antasari No. 36, RT.14/RW.5, Bangka, Mampang Prapatan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta. 12150",Kemang,Jakarta Selatan,106.811453,-6.259374,1,132.0,Lantai Rendah,Tower Empire,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,22,IDR,240000000,240000000,IDR,20000000,,
8,https://jendela360.com/sewa-apartemen-kalibata-city-apartment/klcc113,Kalibata City Apartment 2BR Tower Gaharu,klcc113,Kalibata City Apartment,2,1,"Jl. Raya Kalibata, Rawajati, Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12750",Pancoran,Jakarta Selatan,106.851836,-6.257163,1,33.0,Lantai Tengah,Tower Gaharu,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,20,IDR,45400000,45400000,IDR,3800000,,
9,https://jendela360.com/sewa-apartemen-green-pramuka-city-apartment/gprc064,Green Pramuka City Apartment 2BR Tower Penelope,gprc064,Green Pramuka City Apartment,2,1,"Jl. Jenderal Ahmad Yani Kav. 49, Rawasari, Cempaka Putih, Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",Cempaka Putih,Jakarta Pusat,106.873191,-6.187929,0,33.0,Lantai Tengah,Tower Penelope,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,17,IDR,33000000,33000000,IDR,2700000,IDR,620000
